symptoms,disease
"Excessive daytime sleepiness, cataplexy, sleep paralysis, hypnagogic hallucinations",Narcolepsy 


"Changes in bowel habits, rectal bleeding, abdominal pain, weight loss and fatigue.",Colorectal Cancer 
"unexplained weight loss, fatigue, pain, fever, skin changes, changes in bowel or bladder habits",Cancer


"chronic pain, fatigue, sleep disturbance, memory problems, and widespread tenderness",Fibromyalgia
"fatigue, muscle weakness, and paralysis",Guillain-Barré Syndrome
"blisters, skin peeling and raw, painful sores",Pemphigus



"sudden, intense headache, stiff neck, fever, nausea, vomiting, altered mental status",Bacterial Meningitis 
"gradual onset headache, fever, fatigue, stiff neck, confusion, seizures",Viral Meningitis 
"muscle weakness, paralysis, respiratory failure, difficulty swallowing, blurred vision",Botulism
"skin rash, fever, joint pain, muscle pain, headache, fatigue, swollen lymph nodes",Lyme Disease
"skin lesions, nerve damage, numbness, muscle weakness, eye problems, respiratory problems",Leprosy
"cough, chest pain, fever, chills, shortness of breath, fatigue, weight loss, night sweats",Tuberculosis
"cough, fever, shortness of breath, chest pain, fatigue, weight loss, night sweats, coughing up blood",Tuberculosis
"fever, chills, headache, muscle aches, cough, fatigue, sore throat, runny nose",Influenza
"fever, chills, headache, muscle aches, cough, fatigue, sore throat, runny nose",Influenza
"fever, headache, muscle pain, rash, joint pain, conjunctivitis, Guillain-Barré syndrome",Zika Virus
"fever, headache, vomiting, confusion, stiff neck, seizures, focal neurological deficits",West Nile Virus
"cough, chest pain, fever, weight loss, night sweats, fatigue, shortness of breath",Histoplasmosis
"skin ulcers, swollen lymph nodes, fever, weight loss, anemia, mucosal lesions",Leishmaniasis
"muscle pain, weakness, dark urine, fever, swelling around eyes, rash",Trichinosis
"abdominal pain, nausea, vomiting, diarrhea, fever, chills, headache, muscle aches",Salmonellosis
"abdominal pain, diarrhea, bloody stools, fever, vomiting, dehydration",Shigellosis
"fever, sore throat, white patches on tonsils, swollen lymph nodes, headache, rash",Strep Throat
"abdominal pain, diarrhea, vomiting, fever, chills, headache, dehydration",Campylobacteriosis
"fever, headache, muscle aches, nausea, vomiting, diarrhea, stiff neck, confusion",Listeriosis
"fever, headache, muscle pain, fatigue, cough, sore throat, runny nose, loss of taste/smell",COVID-19
"difficulty breathing, wheezing, chest tightness, coughing, rapid heart rate, cyanosis",Asthma 
"chest pain, shortness of breath, pain radiating to arm/jaw, nausea, sweating, dizziness",Myocardial Infarction 
"irregular heartbeat, palpitations, chest pain, shortness of breath, dizziness, fainting, fatigue",Atrial Fibrillation 
"shortness of breath, fatigue, swelling in legs/ankles/feet, rapid heartbeat, persistent cough, wheezing",Heart Failure
"severely high blood pressure, headache, nosebleeds, blurred vision, chest pain, shortness of breath, seizures",Hypertensive Crisis
"leg pain, cramping during exercise, numbness, cold feet, skin changes, slow-healing sores, shiny skin",Peripheral Artery Disease
"chest pain, shortness of breath, fainting, coughing up blood, rapid heart rate, low blood oxygen",Pulmonary Embolism
"leg swelling, pain, redness, warmth, tenderness, skin discoloration, positive Homan's sign",Deep Vein Thrombosis
"headache, nausea, vomiting, sensitivity to light/sound, aura, visual disturbances, throbbing pain",Migraine
"seizures, loss of consciousness, convulsions, muscle spasms, aura, postictal confusion",Epilepsy
"muscle weakness, fatigue, numbness, tingling, vision problems, coordination problems, bladder/bowel dysfunction",Multiple Sclerosis
"tremors, stiffness, slow movement, impaired balance, difficulty walking, speech problems, micrographia",Parkinson's Disease
"memory loss, confusion, difficulty with familiar tasks, personality changes, language problems, impaired judgment",Alzheimer's Disease 
"sudden, severe headache, stiff neck, nausea, vomiting, loss of consciousness, neurological deficits",Subarachnoid Hemorrhage
"one-sided paralysis, difficulty speaking, vision problems, loss of coordination, confusion, sudden onset",Stroke
"facial drooping, weakness on one side of face, drooling, difficulty closing eye, loss of taste",Bell's Palsy
"abdominal pain,bloating,gas,diarrhea,constipation,mucus in stool,urgency,incomplete emptying",Irritable Bowel Syndrome
"abdominal pain, bloating, gas, diarrhea, constipation, mucus in stool, straining, hard stools",Irritable Bowel Syndrome
"abdominal pain, fever, nausea, vomiting, changes in bowel habits, tenderness, rebound tenderness",Diverticulitis
"abdominal pain,nausea,vomiting,jaundice,clay-colored stools,dark urine,fatigue,loss of appetite",Hepatitis
"abdominal pain, bloating, nausea, vomiting, loss of appetite, jaundice, weight loss, steatorrhea",Pancreatitis
"frequent urination, excessive thirst, blurred vision, fatigue, slow-healing sores, weight loss, tingling/numbness",Diabetes
"fatigue, weight gain, cold intolerance, constipation, dry skin, hair loss, depression, slow heart rate",Hypothyroidism
"rapid heartbeat, weight loss, anxiety, tremors, heat intolerance, sweating, bulging eyes, goiter",Hyperthyroidism
"skin rash, itching, redness, hives, swelling, difficulty breathing, wheezing, throat tightness",Anaphylaxis
"intense itching, especially at night, small red bumps, burrows in skin, widespread rash, secondary infections",Scabies
"red, itchy, inflamed skin, blisters, oozing, crusting, thickening of skin, lichenification",Eczema
"joint pain, swelling, stiffness, limited range of motion, redness, warmth, deformity, nodules",Arthritis
"back pain, leg pain, numbness, tingling, weakness, limited range of motion, bowel/bladder dysfunction",Sciatica
"burning urination, frequent urination, cloudy urine, pelvic pain, blood in urine, fever, chills",Urinary Tract Infection
"pelvic pain, prostate tenderness, painful ejaculation, urinary problems, fever, chills, body aches",Prostatitis
"testicular pain, swelling, tenderness, fever, nausea, vomiting, redness, scrotal swelling",Epididymitis
"difficulty breathing, wheezing, coughing, chest pain, fever",Pneumonia 
"Skin redness, warmth, pain, swelling, and pus-filled pockets.",Abscess
"Chronic cough, fatigue, unexplained weight loss, and coughing up blood.",Lung Abscess

"headache,fever,stiff neck,nausea,vomiting,photophobia,altered mental status",Meningitis
"headache,fever,stiff neck,sensitivity to light,confusion",Meningitis
"severe headache,high fever,very stiff neck,vomiting,rash,drowsiness",Meningitis
"intense headache,fever,neck stiffness,nausea,sensitivity to bright light,seizures",Meningitis
"persistent headache,fever,stiff neck and shoulders,nausea,vomiting,sleepiness,irritability",Meningitis
"easy bruising,prolonged bleeding,nosebleeds,bleeding gums,heavy menstrual bleeding",Hemophilia
"joint pain,swelling,limited range of motion,spontaneous bleeding,muscle bleeds",Hemophilia
"unexplained bleeding,bruising easily,painful joints,swollen joints,internal bleeding",Hemophilia
"excessive bleeding after injury,frequent nosebleeds,tight joints,bruises with lumps",Hemophilia
"prolonged bleeding from cuts,blood in urine,blood in stool,large, deep bruises,joint stiffness",Hemophilia
"skin thickening,tightening of skin,joint pain,stiffness,Raynaud's phenomenon",Scleroderma
"calcium deposits in skin,digestive problems,lung problems,heart problems,kidney problems",Scleroderma
"hard, thickened skin patches,numbness in extremities,difficulty swallowing,shortness of breath",Scleroderma
"shiny, tight skin,small, red spots on skin,joint contractures,calcinosis,esophageal dysfunction",Scleroderma
"skin thickening on fingers,loss of skin elasticity,telangiectasia,digital ulcers,fatigue",Scleroderma
"frequent nosebleeds,nasal congestion,dry nasal passages,headache,facial pain",Epistaxis
"nosebleeds that don't stop easily,bleeding from one nostril,bleeding from both nostrils,dizziness",Epistaxis
"heavy nosebleeds,nosebleeds occurring several times a week,lightheadedness,shortness of breath",Epistaxis
"recurrent nosebleeds,nasal dryness,sinus pressure,headache,difficulty breathing through nose",Epistaxis
"nosebleeds after blowing nose,nosebleeds at night,blood running down back of throat,facial tenderness",Epistaxis
"dry eyes,dry mouth,fatigue,joint pain,swollen salivary glands",Sjogren's Syndrome
"blurred vision,difficulty swallowing,mouth sores,dental problems,vaginal dryness",Sjogren's Syndrome
"persistent dry cough,skin rashes,muscle weakness,arthritis,difficulty chewing",Sjogren's Syndrome
"dry, gritty eyes,dry, sticky mouth,joint inflammation,swollen glands,dry skin",Sjogren's Syndrome
"burning eyes,cottonmouth sensation,tooth decay,difficulty speaking,muscle pain",Sjogren's Syndrome
"nasal congestion,headache,facial pain,postnasal drip,thick nasal discharge",Sinusitis
"reduced sense of smell,ear pressure,fever,toothache,bad breath",Sinusitis
"sinus pressure,nasal blockage,cough,fatigue,sore throat",Sinusitis
"pain around eyes,runny nose,headache that worsens when bending over,fever,halitosis",Sinusitis
"facial tenderness,stuffy nose,thick, yellow or green nasal discharge,coughing,ear fullness",Sinusitis
"joint pain,swelling,stiffness,tenderness,warmth around joints",Rheumatoid Arthritis
"fatigue,morning stiffness,loss of joint function,rheumatoid nodules,low-grade fever",Rheumatoid Arthritis
"symmetrical joint pain,joint inflammation,muscle aches,loss of appetite,dry mouth",Rheumatoid Arthritis
"painful, swollen joints,stiffness that worsens after inactivity,fatigue,weakness",Rheumatoid Arthritis
"joint deformity,limited range of motion,tender joints,warm, swollen joints,malaise",Rheumatoid Arthritis
"increased heart rate,weight loss,anxiety,tremors,sweating",Hyperthyroidism
"heat intolerance,nervousness,irritability,difficulty sleeping,muscle weakness",Hyperthyroidism
"rapid heartbeat,unintentional weight loss,hair loss,goiter,bulging eyes",Hyperthyroidism
"palpitations,increased appetite,restlessness,thinning skin,brittle hair",Hyperthyroidism
"frequent bowel movements,perspiration,anxiety,fine hand tremor,exophthalmos",Hyperthyroidism
"fatigue,weight gain,cold intolerance,constipation,dry skin",Hypothyroidism
"slow heart rate,depression,muscle weakness,memory problems,puffy face",Hypothyroidism
"brittle nails,hair loss,hoarseness,slow speech,heavy menstrual periods",Hypothyroidism
"feeling cold all the time,unexplained weight gain,muscle cramps,poor concentration,facial swelling",Hypothyroidism
"lethargy,increased sensitivity to cold,constipation,depression,thinning hair",Hypothyroidism
"frequent urination,painful urination,cloudy urine,foul-smelling urine,lower abdominal pain",Urinary Tract Infection
"blood in urine,fever,chills,nausea,vomiting",Urinary Tract Infection
"urgent need to urinate,burning sensation during urination,pelvic pain,back pain",Urinary Tract Infection
"urinary frequency,urinary urgency,dysuria,suprapubic pain,hematuria",Urinary Tract Infection
"incomplete bladder emptying,bladder spasms,low-grade fever,foul-smelling urine,cloudy urine",Urinary Tract Infection
"vaginal itching,burning,irritation,thick, white discharge,odorless discharge",Yeast Infection
"redness,swelling,pain during intercourse,painful urination,vaginal rash",Yeast Infection
"cottage cheese-like discharge,vulvar itching,vulvar burning,soreness,dyspareunia",Yeast Infection
"intense itching,burning sensation,white, clumpy discharge,inflammation,vaginal discomfort",Yeast Infection
"vaginal soreness,painful sex,burning with urination,thick vaginal discharge,vulvar redness",Yeast Infection
"nausea,vomiting,diarrhea,abdominal cramps,fever",Gastroenteritis
"dehydration,loss of appetite,headache,muscle aches,weakness",Gastroenteritis
"watery diarrhea,abdominal pain,low-grade fever,malaise,bloating",Gastroenteritis
"stomach cramps,vomiting,loose stools,feeling unwell,mild fever",Gastroenteritis
"frequent bowel movements,nausea,vomiting,abdominal discomfort,fatigue",Gastroenteritis
"cough,fever,chills,shortness of breath,chest pain,fatigue,loss of appetite,night sweats",Lung Abscess
"productive cough,high fever,rigors,dyspnea,pleuritic chest pain,malaise,weight loss,night sweats",Lung Abscess
"cough with phlegm,fever,chills,difficulty breathing,sharp chest pain,extreme fatigue,poor appetite,profuse sweating",Lung Abscess
"coughing up blood,fever,chills,labored breathing,chest pain on inspiration,severe tiredness,anorexia,night sweats",Lung Abscess
"persistent cough,intermittent fever,chills,shortness of breath,chest discomfort,general fatigue,decreased appetite,sweats at night",Lung Abscess
"fever,chills,headache,muscle aches,fatigue,night sweats,weight loss",Typhoid Fever
"abdominal pain,constipation,diarrhea,rose spots on chest,high fever",Typhoid Fever
"slow heart rate,enlarged spleen,enlarged liver,weakness,delirium",Typhoid Fever
"sustained high fever,rash,abdominal discomfort,headache,loss of appetite",Typhoid Fever
"intestinal bleeding,perforation,confusion,severe illness,toxic appearance.",Typhoid Fever
"extremely high blood pressure,severe headache,chest pain,shortness of breath,blurred vision",Hypertensive Crisis
"anxiety,nosebleeds,nausea,vomiting,seizures",Hypertensive Crisis
"pounding in chest,neck, or ears,vision problems,confusion,stroke-like symptoms",Hypertensive Crisis
"sudden, severe headache,dizziness,lightheadedness,altered mental status,organ damage",Hypertensive Crisis
"rapidly increasing blood pressure,severe chest pain,severe back pain,weakness,change in vision",Hypertensive Crisis
"leg pain,leg cramps,numbness in legs,cold legs or feet,sores on feet or legs that don't heal",Peripheral Artery Disease
"shiny skin on legs,hair loss on legs,weak pulse in legs or feet,gangrene",Peripheral Artery Disease
"rest pain in legs,non-healing ulcers,blue or black toes,severe leg pain at night",Peripheral Artery Disease
"painful leg cramping during exercise,leg numbness or weakness,coldness in lower leg or foot,color changes in legs",Peripheral Artery Disease
"leg wounds that are slow to heal,leg pain that doesn't go away when you stop exercising,thickened toenails,diminished hair growth. ",Peripheral Artery Disease
"sudden shortness of breath,chest pain,cough,coughing up blood,rapid heart rate",Pulmonary Embolism
"low blood pressure,fainting,cyanosis,rapid breathing,sweating",Pulmonary Embolism
"sharp chest pain,dizziness,lightheadedness,anxiety,pain in back or shoulder",Pulmonary Embolism
"sudden, severe chest pain,difficulty breathing,coughing,clammy skin,loss of consciousness",Pulmonary Embolism
"irregular heartbeat,weakness,leg swelling,severe respiratory distress,circulatory collapse",Pulmonary Embolism
"leg swelling,leg pain,redness,warmth,tenderness",Deep Vein Thrombosis
"pain in calf or thigh,swelling that extends above the knee,skin discoloration,leg heaviness",Deep Vein Thrombosis
"severe leg pain,extensive swelling,warmth to the touch,pitting edema,superficial vein dilation",Deep Vein Thrombosis
"leg pain that worsens when standing or walking,swelling along the course of a vein,red or bluish skin,skin that is warm and tender",Deep Vein Thrombosis
"significant swelling of the entire leg,pain,tenderness,redness,warmth, and hardness over the affected vein.",Deep Vein Thrombosis
"throbbing headache,nausea,vomiting,sensitivity to light,sensitivity to sound,aura",Migraine
"visual disturbances,flashing lights,blind spots,tingling sensations,speech difficulties",Migraine
"severe headache,blurred vision,dizziness,confusion,difficulty concentrating",Migraine
"one-sided headache,pulsating pain,nausea,vomiting,visual aura,sensory aura",Migraine
"pain behind one eye,sensitivity to light and sound,nausea,vomiting,zig-zag lines in vision,numbness or tingling",Migraine
"uncontrolled jerking movements,loss of consciousness,staring spells,temporary confusion,auras",Epilepsy
"prolonged seizures,repeated seizures without regaining consciousness,difficulty breathing,cyanosis",Epilepsy
"continuous seizure activity,convulsions lasting more than 5 minutes,blue lips or face,unresponsiveness",Epilepsy
"repeated seizures with no recovery in between,muscle rigidity,difficulty swallowing,incontinence",Epilepsy
"seizures lasting longer than usual for the individual,clusters of seizures,impaired breathing,loss of bowel or bladder control, and a prolonged postictal state (confusion and drowsiness after the seizure).",Epilepsy
"fatigue,numbness,tingling,vision problems,muscle weakness,coordination problems",Multiple Sclerosis
"spasticity,bladder problems,bowel problems,cognitive difficulties,depression",Multiple Sclerosis
"difficulty walking,tremors,dizziness,pain,heat sensitivity",Multiple Sclerosis
"periods of relapses and remissions,new or worsening symptoms,blurred vision,double vision,muscle spasms",Multiple Sclerosis
"unsteady gait,slurred speech,fatigue,numbness or weakness in limbs,vision loss, and periods of symptom exacerbation followed by improvement.",Multiple Sclerosis
"tremors,slow movement,stiffness,impaired balance,postural instability",Parkinson's Disease
"muscle rigidity,difficulty walking,difficulty swallowing,drooling,speech problems",Parkinson's Disease
"loss of automatic movements,masked facial expression,dementia,hallucinations,depression",Parkinson's Disease
"significant motor impairment,non-motor symptoms,sleep disturbances,autonomic dysfunction,cognitive decline",Parkinson's Disease
"severe tremors,bradykinesia (slowness of movement),rigidity,postural instability,falls,dysphagia (difficulty swallowing),dementia, and significant limitations in daily activities.",Parkinson's Disease
"memory loss,confusion,difficulty with familiar tasks,problems with language,disorientation",Alzheimer's Disease
"poor judgment,mood swings,personality changes,difficulty recognizing family and friends,wandering",Alzheimer's Disease
"getting lost in familiar places,repeating questions,trouble handling money and paying bills,difficulty completing tasks",Alzheimer's Disease
"increased memory loss and confusion,problems recognizing loved ones,difficulty learning new things,hallucinations,delusions,paranoia",Alzheimer's Disease
"significant cognitive decline, difficulty performing daily tasks, misplacing items, repeating statements or questions, personality changes, and a gradual decline in communication skills.  They might also have difficulty with simple tasks like dressing or bathing.",Alzheimer's Disease
"sudden, severe headache,neck stiffness,nausea,vomiting,loss of consciousness",Subarachnoid Hemorrhage
"seizures,confusion,sensitivity to light,blurred vision,double vision",Subarachnoid Hemorrhage
"worst headache of life,sudden onset,altered mental status,focal neurological deficits,coma",Subarachnoid Hemorrhage
"intense headache,stiff neck,vomiting,photophobia,decreased level of consciousness,rapid deterioration",Subarachnoid Hemorrhage
"thunderclap headache (sudden, explosive onset), loss of consciousness, seizures, neurological deficits, and signs of increased intracranial pressure.  This is a life-threatening emergency.",Subarachnoid Hemorrhage
"weakness on one side of body,numbness on one side of body,difficulty speaking,vision problems,dizziness",Stroke
"loss of balance,trouble walking,confusion,severe headache,facial drooping",Stroke
"sudden numbness or weakness,especially on one side,sudden confusion or trouble speaking,sudden trouble seeing in one or both eyes,sudden trouble walking,dizziness,loss of balance or coordination,sudden severe headache with no known cause.",Stroke
"arm weakness,facial droop,speech difficulty",Stroke
"One-sided weakness, Slurred speech, Vision loss, Vertigo, Headache",Stroke
"sudden weakness on one side of face,facial drooping,drooling,difficulty closing eye,loss of taste",Bell's Palsy
"severe facial paralysis,inability to close eye,pain behind ear,sensitivity to sound,headache",Bell's Palsy
"complete paralysis of one side of the face,inability to wrinkle forehead,difficulty eating and drinking,eye irritation",Bell's Palsy
"rapid onset of facial weakness,drooping eyelid,drooling,dry eye or mouth,facial pain, and impairment of taste.",Bell's Palsy
"drooping of the corner of the mouth, inability to close the eye completely on the affected side, difficulty with facial expressions, pain or discomfort around the jaw and behind the ear, increased sensitivity to sound on the affected side",Bell's Palsy
"abdominal pain,bloating,gas,diarrhea,constipation,mucus in stool,urgency,incomplete emptying",Irritable Bowel Syndrome
"frequent diarrhea,loose stools,abdominal cramps,urgent need to defecate,feeling of incomplete bowel movement",Irritable Bowel Syndrome
"alternating diarrhea and normal stools,abdominal discomfort,bloating,gas,change in bowel habits",Irritable Bowel Syndrome
"lower abdominal pain,cramping,diarrhea predominant,mucus in the stool,feeling of needing to have a bowel movement but not being able to.",Irritable Bowel Syndrome
"abdominal pain relieved by defecation, diarrhea, bloating, gas, and the presence of mucus in the stool.  The diarrhea is often characterized by urgency and a feeling of incomplete evacuation.",Irritable Bowel Syndrome
"abdominal pain,bloating,gas,constipation,straining during bowel movements,hard stools",Irritable Bowel Syndrome
"infrequent bowel movements,difficulty passing stool,feeling of incomplete bowel movement,abdominal discomfort",Irritable Bowel Syndrome
"hard, lumpy stools,straining,bloating,abdominal pain,less than three bowel movements per week",Irritable Bowel Syndrome
"abdominal pain relieved by defecation (though with difficulty), infrequent stools, hard or lumpy stools, straining during bowel movements, a sensation of incomplete evacuation. ",Irritable Bowel Syndrome
"difficulty passing stools, abdominal cramping, a sense of incomplete emptying, hard or lumpy stools, and infrequent bowel movements (typically less than three per week). The abdominal pain is often relieved by having a bowel movement.",Irritable Bowel Syndrome
"runny nose,sneezing,cough,sore throat,mild headache,mild fever",Common Cold
"nasal congestion,watery eyes,body aches,fatigue,low-grade fever",Common Cold
"scratchy throat,sneezing,runny nose,coughing,mild body aches",Common Cold
"stuffy nose,sore throat,cough,sneezing,headache,feeling unwell",Common Cold
"nasal discharge,sneezing,coughing,sore throat,mild fatigue,low-grade fever",Common Cold
"itchy rash,blisters,fever,fatigue,loss of appetite",Chickenpox
"headache,malaise,red, watery eyes,cough,runny nose",Chickenpox
"small, itchy, fluid-filled blisters all over the body,fever,tiredness,headache",Chickenpox
"itchy, red spots that turn into blisters,fever,headache,loss of appetite,feeling generally unwell",Chickenpox
"widespread rash, fever, headache, body aches, and fatigue. The rash typically starts as small, red spots that develop into fluid-filled blisters, which then scab over.",Chickenpox
"cough,fever,fatigue,night sweats,weight loss,chest pain",Tuberculosis
"coughing up blood,shortness of breath,loss of appetite,chills,pleuritic chest pain",Tuberculosis
"persistent cough,fever,night sweats,unexplained weight loss,fatigue,coughing up blood or sputum",Tuberculosis
"prolonged cough (often with blood), chest pain, fever, night sweats, weight loss, fatigue, and loss of appetite. ",Tuberculosis
"productive cough (lasting 3 weeks or longer), fever, night sweats, unintentional weight loss, fatigue, and sometimes coughing up blood (hemoptysis).",Tuberculosis
"fever,chills,headache,muscle aches,joint pain,fatigue",Chikungunya
"rash,nausea,vomiting,swollen joints,severe joint pain",Chikungunya
"high fever,intense joint pain,muscle pain,headache,rash,nausea",Chikungunya
"sudden onset of fever, severe joint pain (often in hands and feet), headache, muscle pain, rash, and fatigue",Chikungunya
"debilitating joint pain, fever, headache, muscle aches, rash, and fatigue. The joint pain is often severe and can last for weeks, months, or even years.",Chikungunya
"fatigue,fever,weight loss,night sweats,swollen lymph nodes",HIV/AIDS
"opportunistic infections,persistent diarrhea,skin rashes,mouth sores,pneumonia",HIV/AIDS
"recurrent infections,unexplained weight loss,chronic diarrhea,skin problems,neurological problems",HIV/AIDS
"persistent fatigue, unexplained weight loss, recurrent fevers, night sweats, swollen lymph nodes, and susceptibility to opportunistic infections.",HIV/AIDS
"weakened immune system leading to various opportunistic infections, persistent fatigue, unexplained weight loss, recurrent fevers, night sweats, swollen lymph nodes, and various other symptoms depending on the specific infections.",HIV/AIDS
"abdominal pain,nausea,vomiting,jaundice,clay-colored stools,dark urine,fatigue,loss of appetite",Hepatitis
"fever,malaise,joint pain,headache,skin rash",Hepatitis
"yellowing of the skin and eyes,dark urine,pale stools,abdominal pain,nausea,vomiting,fatigue,loss of appetite",Hepatitis
"jaundice (yellowing of skin and eyes), dark urine, light-colored stools, abdominal pain, nausea, vomiting, fatigue, loss of appetite, and fever.",Hepatitis
"fatigue, nausea, vomiting, abdominal pain, jaundice (yellowing of the skin and whites of the eyes), dark urine, and clay-colored stools.",Hepatitis
"fever,headache,fatigue,muscle aches,bull's-eye rash",Lyme Disease
"joint pain,swollen joints,neurological problems,heart problems,memory problems",Lyme Disease
"erythema migrans (bull's-eye rash),fatigue,fever,headache,muscle aches,joint pain",Lyme Disease
"early localized symptoms might include a characteristic bull's-eye rash (erythema migrans), fever, headache, fatigue, and muscle aches.  ",Lyme Disease
"characteristic bull's-eye rash (erythema migrans), fever, headache, fatigue, muscle aches, and joint pain. If left untreated, it can spread to the joints, heart, and nervous system.",Lyme Disease
"red, watery eyes,itching,burning,discharge,crusting",Conjunctivitis
"feeling of grittiness in eye,sensitivity to light,blurred vision,swollen eyelids",Conjunctivitis
"redness in the white of the eye,itchy eyes,watery eyes,pus or thick discharge,crusting of eyelids or lashes",Conjunctivitis
"redness and inflammation of the conjunctiva (the white part of the eye), itching, tearing, and a discharge that can be watery, mucus-like, or purulent (pus-like).",Conjunctivitis
"eye redness, itching, tearing, and a gritty sensation. There may also be discharge that can cause the eyelids to stick together, especially in the morning.",Conjunctivitis
"painful sores on lips,mouth,or genitals,tingling,burning,itching",Herpes Simplex
"blisters,ulcers,fever,swollen lymph nodes,body aches",Herpes Simplex
"cold sores or fever blisters,genital sores,tingling or burning sensation before sores appear,painful blisters",Herpes Simplex
"painful blisters or sores (typically on the mouth or genitals), preceded by tingling, itching, or burning. ",Herpes Simplex
"painful, fluid-filled blisters on the lips, mouth, or genitals. These blisters can break and form ulcers. Symptoms may also include tingling, itching, or burning before the blisters appear.",Herpes Simplex
"painful, round, white or yellow sores in mouth,tingling,burning",Aphthous Ulcer
"sores with red border,difficulty eating and drinking,irritability,feeling unwell",Aphthous Ulcer
"small, round or oval ulcers with a white or yellow center and a red border,usually inside the mouth,painful sores",Aphthous Ulcer
"painful, round or white or yellow sores in the mouth, typically on the inside of the cheeks, lips, or tongue.",Aphthous Ulcer
"Painful, round sores inside the mouth with a white or yellowish center and a red border.",Aphthous Ulcer
"painful sores in mouth,difficulty eating,difficulty drinking,white or yellow sores",Mouth Ulcer
"sores with red halo,pain that worsens with spicy or acidic foods,tenderness",Mouth Ulcer
"small, shallow ulcers in the mouth,usually on the inside of the lips, cheeks, or tongue,painful sores,red border",Mouth Ulcer
"Painful, round or oval white/yellow sores in the mouth; usually found in the inner lips, cheeks, tongue and gum.",Mouth Ulcer
"Painful, round, shallow sores inside the mouth, typically on non-keratinized mucosa (like the inside of the cheeks or lips).",Mouth Ulcer
"fever,headache,muscle weakness,paralysis,loss of reflexes",Polio
"stiff neck,back pain,difficulty breathing,difficulty swallowing,muscle spasms",Polio
"muscle weakness,paralysis,fever,headache,stiff neck,muscle pain",Polio
"fever, headache, stiff neck, muscle weakness, and, in severe cases, paralysis.",Polio
"muscle weakness, paralysis, fever, headache, stiff neck, and potential for long-term disability.",Polio
"skin lesions,numbness,muscle weakness,nerve damage,skin discoloration",Leprosy
"loss of sensation,skin thickening,eye problems,nasal problems,ulcers on feet",Leprosy
"skin patches that are lighter or darker than normal,loss of sensation in the affected skin,numbness or tingling in hands and feet,muscle weakness",Leprosy
"skin lesions (often pale or discolored), loss of sensation in the affected areas, numbness, tingling, and muscle weakness.  Can lead to disfigurement and disability if untreated.",Leprosy
"skin lesions (often pale and numb), nerve damage, muscle weakness, and potential for disfigurement if left untreated.",Leprosy
"fever,headache,rash,joint pain,conjunctivitis,muscle pain",Zika Virus
"mild symptoms,birth defects in pregnant women,Guillain-Barré syndrome,microcephaly",Zika Virus
"fever,rash,joint pain,conjunctivitis (red eyes),muscle pain,headache,often mild or asymptomatic",Zika Virus
"fever, rash, joint pain, conjunctivitis (red eyes), and muscle pain. It's often mild and can go unnoticed. The main concern is its link to birth defects (like microcephaly) if a pregnant woman is infected.",Zika Virus
"Mild fever, rash, joint pain, conjunctivitis (red eyes). In pregnant women, may increase risk of microcephaly in baby.",Zika Virus
"fever,headache,body aches,nausea,vomiting,stiff neck",West Nile Virus
"rash,swollen lymph nodes,neurological problems,meningitis,encephalitis",West Nile Virus
"fever,headache,body aches,joint pain,vomiting,diarrhea,rash,most people have mild or no symptoms",West Nile Virus
"Most people have no symptoms or mild flu-like symptoms (fever, headache, body aches). In *rare* cases, it can cause severe neurological illness (encephalitis, meningitis).",West Nile Virus
"Most people are asymptomatic. May have a mild fever, headache, body aches or rash. Severe form can cause encephalitis or meningitis.",West Nile Virus
"fever,chills,night sweats,weight loss,fatigue,cough",Histoplasmosis
"chest pain,shortness of breath,disseminated infection,skin lesions,joint pain",Histoplasmosis
"cough,fever,chest pain,shortness of breath,headache,muscle aches,most people have no symptoms",Histoplasmosis
"Often asymptomatic. Can cause flu-like symptoms (fever, cough, chest pain). In severe cases (especially in people with weakened immune systems), it can spread to other organs.",Histoplasmosis
"Usually asymptomatic, but might cause flu-like illness with fever, cough, and chest pain.",Histoplasmosis
"skin sores,fever,weight loss,enlarged spleen,enlarged liver,anemia",Leishmaniasis
"low blood cell counts,weakness,nasal congestion,difficulty breathing,mouth sores",Leishmaniasis
"skin sores (cutaneous leishmaniasis),enlarged spleen and liver (visceral leishmaniasis),fever,weight loss,anemia",Leishmaniasis
"Skin sores (cutaneous, most common form). Fever, weight loss, enlarged spleen/liver (visceral form), Mucosal form affects nose, mouth & throat.",Leishmaniasis
"Cutaneous form: skin sores. Visceral form: fever, weight loss, enlarged spleen and liver, low blood counts.",Leishmaniasis
"muscle pain,muscle swelling,fever,weakness,diarrhea,abdominal cramps",Trichinosis
"headache,chills,cough,eye swelling,itchy skin,rash",Trichinosis
"muscle pain,fever,swelling around the eyes,headache,weakness,abdominal discomfort",Trichinosis
"Muscle pain, fever, swelling around the eyes, and digestive upset (diarrhea, abdominal pain).",Trichinosis
"Muscle pain, fever, swelling around the eyes, headache, and sometimes digestive issues.",Trichinosis
"chest pain,shortness of breath,pain in left arm,nausea,vomiting,sweating",Heart Attack
"jaw pain,neck pain,back pain,lightheadedness,cold sweat,indigestion",Heart Attack
"chest pain or discomfort,shortness of breath,pain or discomfort in the jaw, neck, back, arm, or shoulder,nausea,lightheadedness,cold sweat",Heart Attack
